service_date,gtfs_route_id,gtfs_route_long_name,peak_offpeak_ind,otp_numerator,otp_denominator,cancelled_numerator,ObjectId,otp_ratio,service_time
2024-12-31,CR-Providence,Providence/Stoughton Line,OFF_PEAK,30,31,0,7230,0.97,05:00:00
2024-12-31,CR-Lowell,Lowell Line,PEAK,11,11,0,7386,1.0,05:00:00
2024-12-31,CR-Middleborough,Middleborough/Lakeville Line,PEAK,5,6,0,7387,0.83,05:00:00
2024-12-31,CR-Needham,Needham Line,PEAK,8,8,0,7506,1.0,05:00:00
2024-12-31,CR-Newburyport,Newburyport/Rockport Line,PEAK,6,6,0,7508,1.0,05:00:00
2024-12-31,CR-Newburyport,Newburyport/Rockport Line,PEAK,8,8,0,7510,1.0,05:00:00
2024-12-30,CR-Haverhill,Haverhill Line,PEAK,11,12,0,7615,0.92,05:00:00
2024-12-30,CR-Kingston,Kingston/Plymouth Line,PEAK,8,8,0,7616,1.0,05:00:00
2024-12-30,CR-Fairmount,Fairmount Line,OFF_PEAK,42,43,0,7621,0.98,05:00:00
2024-12-30,CR-Fitchburg,Fitchburg Line,OFF_PEAK,29,29,0,7622,1.0,05:00:00
2024-12-30,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,29,30,0,7623,0.97,05:00:00
2024-12-30,CR-Franklin,Franklin Line,OFF_PEAK,18,18,0,7624,1.0,05:00:00
2024-12-30,CR-Greenbush,Greenbush Line,OFF_PEAK,20,20,0,7625,1.0,05:00:00
2024-12-30,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,17,17,0,7626,1.0,05:00:00
2024-12-30,CR-Lowell,Lowell Line,OFF_PEAK,25,26,0,7627,0.96,05:00:00
2024-12-30,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,21,22,0,7628,0.95,05:00:00
2024-12-30,CR-Needham,Needham Line,OFF_PEAK,24,25,0,7629,0.96,05:00:00
2024-12-30,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,15,21,0,7630,0.71,05:00:00
2024-12-30,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,15,23,0,7631,0.65,05:00:00
2024-12-30,CR-Fairmount,Fairmount Line,PEAK,12,14,0,7636,0.86,05:00:00
2024-12-30,CR-Fitchburg,Fitchburg Line,PEAK,9,9,0,7637,1.0,05:00:00
2024-12-30,CR-Franklin,Franklin Line,PEAK,8,8,0,7638,1.0,05:00:00
2024-12-30,CR-Greenbush,Greenbush Line,PEAK,6,6,0,7639,1.0,05:00:00
2024-12-30,CR-Needham,Needham Line,PEAK,6,8,0,7640,0.75,05:00:00
2024-12-31,CR-Worcester,Framingham/Worcester Line,PEAK,14,17,0,7660,0.82,05:00:00
2024-12-31,CR-Providence,Providence/Stoughton Line,PEAK,7,7,0,7661,1.0,05:00:00
2024-12-31,CR-Providence,Providence/Stoughton Line,PEAK,10,10,0,7662,1.0,05:00:00
2024-12-30,CR-Newburyport,Newburyport/Rockport Line,PEAK,5,6,0,7741,0.83,05:00:00
2024-12-30,CR-Newburyport,Newburyport/Rockport Line,PEAK,5,8,0,7742,0.62,05:00:00
2024-12-30,CR-Worcester,Framingham/Worcester Line,PEAK,17,17,0,7776,1.0,05:00:00
2024-12-30,CR-Middleborough,Middleborough/Lakeville Line,PEAK,6,6,0,7777,1.0,05:00:00
2024-12-30,CR-Providence,Providence/Stoughton Line,PEAK,7,7,0,7778,1.0,05:00:00
2024-12-30,CR-Providence,Providence/Stoughton Line,PEAK,9,10,0,7779,0.9,05:00:00
2024-12-30,CR-Haverhill,Haverhill Line,OFF_PEAK,29,31,0,7797,0.94,05:00:00
2024-12-31,CR-Haverhill,Haverhill Line,PEAK,11,12,0,7806,0.92,05:00:00
2024-12-31,CR-Kingston,Kingston/Plymouth Line,PEAK,8,8,0,7858,1.0,05:00:00
2024-12-30,CR-Lowell,Lowell Line,PEAK,11,11,0,7904,1.0,05:00:00
2024-12-31,CR-Fairmount,Fairmount Line,OFF_PEAK,42,43,0,7911,0.98,05:00:00
2024-12-31,CR-Fitchburg,Fitchburg Line,OFF_PEAK,28,28,0,7912,1.0,05:00:00
2024-12-31,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,29,29,0,7913,1.0,05:00:00
2024-12-31,CR-Franklin,Franklin Line,OFF_PEAK,17,17,0,7914,1.0,05:00:00
2024-12-31,CR-Greenbush,Greenbush Line,OFF_PEAK,18,19,0,7915,0.95,05:00:00
2024-12-31,CR-Haverhill,Haverhill Line,OFF_PEAK,30,30,0,7916,1.0,05:00:00
2024-12-31,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,18,18,0,7917,1.0,05:00:00
2024-12-31,CR-Lowell,Lowell Line,OFF_PEAK,25,25,0,7918,1.0,05:00:00
2024-12-31,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,20,21,0,7919,0.95,05:00:00
2024-12-31,CR-Needham,Needham Line,OFF_PEAK,26,26,0,7920,1.0,05:00:00
2024-12-31,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,21,22,0,7921,0.95,05:00:00
2024-12-31,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,22,0,7922,1.0,05:00:00
2024-12-31,CR-Fairmount,Fairmount Line,PEAK,13,14,0,7928,0.93,05:00:00
2024-12-31,CR-Fitchburg,Fitchburg Line,PEAK,9,9,0,7929,1.0,05:00:00
2024-12-31,CR-Franklin,Franklin Line,PEAK,8,8,0,7930,1.0,05:00:00
2024-12-31,CR-Greenbush,Greenbush Line,PEAK,5,6,0,7931,0.83,05:00:00
2024-12-31,CR-Providence,Providence/Stoughton Line,OFF_PEAK,21,25,0,7990,0.84,05:00:00
2024-12-30,CR-Providence,Providence/Stoughton Line,OFF_PEAK,25,25,0,8002,1.0,05:00:00
2024-12-30,CR-Providence,Providence/Stoughton Line,OFF_PEAK,31,32,0,8003,0.97,05:00:00
2024-12-29,CR-Fitchburg,Fitchburg Line,OFF_PEAK,15,16,0,8046,0.94,05:00:00
2024-12-29,CR-Greenbush,Greenbush Line,OFF_PEAK,16,16,0,8047,1.0,05:00:00
2024-12-29,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,17,17,0,8048,1.0,05:00:00
2024-12-28,CR-Worcester,Framingham/Worcester Line,PEAK,0,0,0,8057,,05:00:00
2024-12-28,CR-Middleborough,Middleborough/Lakeville Line,PEAK,0,0,0,8058,,05:00:00
2024-12-28,CR-Providence,Providence/Stoughton Line,PEAK,0,0,0,8059,,05:00:00
2024-12-28,CR-Fairmount,Fairmount Line,OFF_PEAK,31,33,2,8072,0.94,05:00:00
2024-12-27,CR-Fairmount,Fairmount Line,PEAK,14,14,0,8096,1.0,05:00:00
2024-12-27,CR-Lowell,Lowell Line,PEAK,10,11,0,8133,0.91,05:00:00
2024-12-29,CR-Worcester,Framingham/Worcester Line,PEAK,0,0,0,8158,,05:00:00
2024-12-29,CR-Middleborough,Middleborough/Lakeville Line,PEAK,0,0,0,8160,,05:00:00
2024-12-29,CR-Providence,Providence/Stoughton Line,PEAK,0,0,0,8162,,05:00:00
2024-12-27,CR-Providence,Providence/Stoughton Line,PEAK,7,7,0,8183,1.0,05:00:00
2024-12-29,CR-Providence,Providence/Stoughton Line,OFF_PEAK,18,20,0,8237,0.9,05:00:00
2024-12-28,CR-Franklin,Franklin Line,PEAK,0,0,0,8248,,05:00:00
